,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
0,Climate change,4.0,No,2,2,2,2,2,centro,Man,20,BE - Belgium,Large town,0,The middle class of society,single
1,The increasing global population,5.0,No,2,2,2,2,2,centro,Man,55,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
2,Climate change,6.0,No,2,2,2,1,1,centro-sx,Man,80,BE - Belgium,Large town,dk,The lower middle class of society,single
3,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,2,2,2,centro,Man,40,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
4,Proliferation of nuclear weapons,5.0,Yes,3,3,2,3,2,centro,Man,55,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
5,The economic situation,5.0,Yes,1,1,2,2,2,centro,Man,22,BE - Belgium,Large town,0,The lower middle class of society,single
6,"Poverty, hunger and lack of drinking water",7.0,No,1,1,2,2,1,centro,Man,32,BE - Belgium,Large town,21,The middle class of society,con patner e figli
7,Climate change,10.0,Yes,1,1,1,1,1,sx,Woman,56,BE - Belgium,Large town,21,The middle class of society,con patner e figli
8,"Poverty, hunger and lack of drinking water",6.0,Yes,2,1,1,1,1,centro-dx,Woman,67,BE - Belgium,Large town,18,The middle class of society,single
9,Climate change,10.0,No,2,1,1,2,1,centro-dx,Man,64,BE - Belgium,Large town,21,The middle class of society,single
10,"Poverty, hunger and lack of drinking water",6.0,No,4,2,2,2,2,centro-dx,Woman,71,BE - Belgium,Large town,22,The middle class of society,single
11,"Poverty, hunger and lack of drinking water",6.0,Yes,3,2,1,1,1,centro-sx,Woman,42,BE - Belgium,Large town,22,The middle class of society,single
12,"Poverty, hunger and lack of drinking water",5.0,No,3,2,2,3,2,centro-sx,Woman,45,BE - Belgium,Large town,22,The lower middle class of society,con patner
13,The economic situation,6.0,No,4,3,2,2,3,centro-dx,Woman,67,BE - Belgium,Large town,19,The middle class of society,con patner
14,Armed conflicts,6.0,No,2,2,2,1,1,centro,Woman,37,BE - Belgium,Small or middle sized town,dk,The lower middle class of society,con patner e figli
15,The economic situation,6.0,No,2,2,2,2,3,centro,Man,43,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
16,Climate change,6.0,No,2,2,2,2,2,centro,Woman,82,BE - Belgium,Large town,dk,The middle class of society,single
17,Spread of infectious diseases,6.0,Yes,2,2,1,1,1,centro,Man,25,BE - Belgium,Large town,dk,The middle class of society,single
18,Climate change,6.0,Yes,2,2,1,1,1,centro,Man,39,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
19,"Poverty, hunger and lack of drinking water",5.0,Yes,2,2,2,2,2,centro,Man,60,BE - Belgium,Small or middle sized town,dk,The lower middle class of society,con patner e figli
20,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,2,1,2,centro,Man,35,BE - Belgium,Small or middle sized town,dk,The lower middle class of society,con patner e figli
21,Armed conflicts,5.0,Yes,2,2,2,2,2,centro,Woman,45,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
22,"Poverty, hunger and lack of drinking water",5.0,No,2,2,2,1,1,centro,Woman,38,BE - Belgium,Large town,18,The lower middle class of society,con patner e figli
23,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,1,2,centro-dx,Man,36,BE - Belgium,Large town,15,The lower middle class of society,con patner e figli
24,Armed conflicts,6.0,Yes,2,2,2,2,2,centro,Woman,50,BE - Belgium,Large town,dk,The middle class of society,single con figli
25,"Poverty, hunger and lack of drinking water",5.0,Yes,2,2,2,2,2,centro-dx,Man,30,BE - Belgium,Large town,dk,The middle class of society,single con figli
